yourlist:M202109285BF3C56A578D7D6DFD1FC81EE5DA773020E3889	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q9CXC9	Q9CXC9	ETV5_MOUSE	reviewed	ETS translocation variant 5	Etv5	Mus musculus (Mouse)	510
Q64205	Q64205	DLX3_MOUSE	reviewed	Homeobox protein DLX-3	Dlx3	Mus musculus (Mouse)	287
Q9WUU6	Q9WUU6	HNF4G_MOUSE	reviewed	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)	Hnf4g Nr2a2	Mus musculus (Mouse)	408
P48437	P48437	PROX1_MOUSE	reviewed	Prospero homeobox protein 1 (Homeobox prospero-like protein PROX1) (PROX-1)	Prox1	Mus musculus (Mouse)	737
E9PZZ1	E9PZZ1	PRD13_MOUSE	reviewed	PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)	Prdm13	Mus musculus (Mouse)	754
Q99PV8	Q99PV8	BC11B_MOUSE	reviewed	B-cell lymphoma/leukemia 11B (BCL-11B) (B-cell CLL/lymphoma 11B) (COUP-TF-interacting protein 2) (Radiation-induced tumor suppressor gene 1 protein) (mRit1)	Bcl11b Ctip2 Rit1	Mus musculus (Mouse)	884
Q9Z0E3	Q9Z0E3	AIRE_MOUSE	reviewed	Autoimmune regulator (Autoimmune polyendocrinopathy candidiasis ectodermal dystrophy protein homolog) (APECED protein homolog)	Aire	Mus musculus (Mouse)	552
A1JVI8	A1JVI8	A1JVI8_MOUSE	unreviewed	Homeobox protein	Dux Dux4	Mus musculus (Mouse)	674
Q99PV5	Q99PV5	BHE41_MOUSE	reviewed	Class E basic helix-loop-helix protein 41 (bHLHe41) (Class B basic helix-loop-helix protein 3) (bHLHb3) (Differentially expressed in chondrocytes protein 2) (mDEC2)	Bhlhe41 Bhlhb3 Dec2	Mus musculus (Mouse)	410
Q61473	Q61473	SOX17_MOUSE	reviewed	Transcription factor SOX-17	Sox17 Sox-17	Mus musculus (Mouse)	419
E9Q8T2	E9Q8T2	PRD15_MOUSE	reviewed	PR domain zinc finger protein 15 (EC 2.1.1.-) (PR domain-containing protein 15)	Prdm15	Mus musculus (Mouse)	1174
P27782	P27782	LEF1_MOUSE	reviewed	Lymphoid enhancer-binding factor 1 (LEF-1)	Lef1 Lef-1	Mus musculus (Mouse)	397
Q3V3W4	Q3V3W4	Q3V3W4_MOUSE	unreviewed	Zinc finger and BTB domain-containing 2	Zbtb2 Gm1103	Mus musculus (Mouse)	514
P47856	P47856	GFPT1_MOUSE	reviewed	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	Gfpt1 Gfpt	Mus musculus (Mouse)	697
Q9QY36	Q9QY36	NAA10_MOUSE	reviewed	N-alpha-acetyltransferase 10 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog A) (NatA catalytic subunit Naa10)	Naa10 Ard1 Ard1a Te2	Mus musculus (Mouse)	235
Q9ESU6	Q9ESU6	BRD4_MOUSE	reviewed	Bromodomain-containing protein 4 (Mitotic chromosome-associated protein) (MCAP)	Brd4 Mcap	Mus musculus (Mouse)	1400
Q921E6	Q921E6	EED_MOUSE	reviewed	Polycomb protein EED	Eed	Mus musculus (Mouse)	441
Q9Z2V6	Q9Z2V6	HDAC5_MOUSE	reviewed	Histone deacetylase 5 (HD5) (EC 3.5.1.98) (Histone deacetylase mHDA1)	Hdac5	Mus musculus (Mouse)	1113
Q03288	Q03288	ASIP_MOUSE	reviewed	Agouti-signaling protein (ASP) (Agouti coat color protein) (Agouti switch protein)	Asip a	Mus musculus (Mouse)	131
Q80U70	Q80U70	SUZ12_MOUSE	reviewed	Polycomb protein Suz12 (Suppressor of zeste 12 protein homolog)	Suz12 D11Ertd530e Kiaa0160	Mus musculus (Mouse)	741
Q61188	Q61188	EZH2_MOUSE	reviewed	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2)	Ezh2 Enx1h	Mus musculus (Mouse)	746
Q8VEK3	Q8VEK3	HNRPU_MOUSE	reviewed	Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (Scaffold-attachment factor A) (SAF-A)	Hnrnpu Hnrpu	Mus musculus (Mouse)	800
Q61550	Q61550	RAD21_MOUSE	reviewed	Double-strand-break repair protein rad21 homolog (mHR21) (Pokeweed agglutinin-binding protein 29) (PW29) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product)]	Rad21 Hr21 Scc1	Mus musculus (Mouse)	635
Q8VE65	Q8VE65	TAF12_MOUSE	reviewed	Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20 kDa subunits) (TAFII-20) (TAFII20)	Taf12	Mus musculus (Mouse)	161
Q8K0H5	Q8K0H5	TAF10_MOUSE	reviewed	Transcription initiation factor TFIID subunit 10 (Transcription initiation factor TFIID 30 kDa subunit) (TAF(II)30) (TAFII-30) (TAFII30) (mTAFII30)	Taf10 Taf2h Tafii30	Mus musculus (Mouse)	218
Q8C176	Q8C176	TAF2_MOUSE	reviewed	Transcription initiation factor TFIID subunit 2 (TBP-associated factor 150 kDa) (Transcription initiation factor TFIID 150 kDa subunit) (TAF(II)150) (TAFII-150) (TAFII150)	Taf2	Mus musculus (Mouse)	1104
O09106	O09106	HDAC1_MOUSE	reviewed	Histone deacetylase 1 (HD1) (EC 3.5.1.98)	Hdac1	Mus musculus (Mouse)	482
P70288	P70288	HDAC2_MOUSE	reviewed	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (YY1 transcription factor-binding protein)	Hdac2 Yy1bp	Mus musculus (Mouse)	488
O88895	O88895	HDAC3_MOUSE	reviewed	Histone deacetylase 3 (HD3) (EC 3.5.1.98)	Hdac3	Mus musculus (Mouse)	424
B2RWS6	B2RWS6	EP300_MOUSE	reviewed	Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein lactyltransferas p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-)	Ep300 P300	Mus musculus (Mouse)	2412
P35175	P35175	CYT1_MOUSE	reviewed	Stefin-1	Stfa1 Stf-1 Stf1	Mus musculus (Mouse)	97
A1A546	A1A546	ISX_MOUSE	reviewed	Intestine-specific homeobox	Isx	Mus musculus (Mouse)	240
Q6ZQ88	Q6ZQ88	KDM1A_MOUSE	reviewed	Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2)	Kdm1a Aof2 Kiaa0601 Lsd1	Mus musculus (Mouse)	853
Q5DU09	Q5DU09	ZN652_MOUSE	reviewed	Zinc finger protein 652	Znf652 Kiaa0924 Zfp652	Mus musculus (Mouse)	608
O70546	O70546	KDM6A_MOUSE	reviewed	Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously transcribed TPR protein on the X chromosome) (Ubiquitously transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A)	Kdm6a Utx	Mus musculus (Mouse)	1401
Q62383	Q62383	SPT6H_MOUSE	reviewed	Transcription elongation factor SPT6	Supt6h Kiaa0162 Supt6	Mus musculus (Mouse)	1726
P09079	P09079	HXB5_MOUSE	reviewed	Homeobox protein Hox-B5 (Homeobox protein H24.1) (Homeobox protein Hox-2.1) (Homeobox protein Mu-1)	Hoxb5 Hox-2.1 Hoxb-5	Mus musculus (Mouse)	269
Q6PCM1	Q6PCM1	KDM3A_MOUSE	reviewed	Lysine-specific demethylase 3A (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2A) (Jumonji domain-containing protein 1A) ([histone H3]-dimethyl-L-lysine(9) demethylase 3A)	Kdm3a Jhdm2a Jmjd1a Kiaa0742	Mus musculus (Mouse)	1323
Q61880	Q61880	DMC1_MOUSE	reviewed	Meiotic recombination protein DMC1/LIM15 homolog	Dmc1 Dmc1h Lim15	Mus musculus (Mouse)	340
P24270	P24270	CATA_MOUSE	reviewed	Catalase (EC 1.11.1.6)	Cat Cas-1 Cas1	Mus musculus (Mouse)	527
Q62318	Q62318	TIF1B_MOUSE	reviewed	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-A-interacting protein) (KRIP-1) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	Trim28 Kap1 Krip1 Tif1b	Mus musculus (Mouse)	834
Q9JHD2	Q9JHD2	KAT2A_MOUSE	reviewed	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (MmGCN5) (Histone glutaryltransferase KAT2A) (EC 2.3.1.-) (Histone succinyltransferase KAT2A) (EC 2.3.1.-) (Lysine acetyltransferase 2A)	Kat2a Gcn5l2	Mus musculus (Mouse)	830
P40201	P40201	CHD1_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1)	Chd1 Chd-1	Mus musculus (Mouse)	1711
Q60520	Q60520	SIN3A_MOUSE	reviewed	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Sin3a Kiaa4126	Mus musculus (Mouse)	1274
Q6NZF1	Q6NZF1	ZC11A_MOUSE	reviewed	Zinc finger CCCH domain-containing protein 11A	Zc3h11a Kiaa0663	Mus musculus (Mouse)	792
Q61191	Q61191	HCFC1_MOUSE	reviewed	Host cell factor 1 (HCF) (HCF-1) (C1 factor) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	Hcfc1	Mus musculus (Mouse)	2045
Q6P1E1	Q6P1E1	ZMIZ1_MOUSE	reviewed	Zinc finger MIZ domain-containing protein 1 (PIAS-like protein Zimp10) (Retinoic acid-induced protein 17)	Zmiz1 Rai17 Zimp10	Mus musculus (Mouse)	1072
E9PZM4	E9PZM4	CHD2_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)	Chd2	Mus musculus (Mouse)	1827
Q9CW03	Q9CW03	SMC3_MOUSE	reviewed	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome segregation protein SmcD) (Mad member-interacting protein 1)	Smc3 Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd	Mus musculus (Mouse)	1217
P19426	P19426	NELFE_MOUSE	reviewed	Negative elongation factor E (NELF-E) (RNA-binding protein RD)	Nelfe D17h6s45 Rd Rdbp	Mus musculus (Mouse)	375
Q6KCD5	Q6KCD5	NIPBL_MOUSE	reviewed	Nipped-B-like protein (Delangin homolog) (SCC2 homolog)	Nipbl Scc2	Mus musculus (Mouse)	2798
Q9D2X5	Q9D2X5	SCC4_MOUSE	reviewed	MAU2 chromatid cohesion factor homolog (MAU-2) (Cohesin loading complex subunit SCC4 homolog)	Mau2 Kiaa0892 Scc4	Mus musculus (Mouse)	619
Q99KE8	Q99KE8	ZFP64_MOUSE	reviewed	Zinc finger protein 64 (Zfp-64)	Zfp64	Mus musculus (Mouse)	643
Q8VDS3	Q8VDS3	CBX7_MOUSE	reviewed	Chromobox protein homolog 7	Cbx7 D15Ertd417e	Mus musculus (Mouse)	158
Q5NCY0	Q5NCY0	KDM6B_MOUSE	reviewed	Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B)	Kdm6b Jmjd3 Kiaa0346	Mus musculus (Mouse)	1641
O35295	O35295	PURB_MOUSE	reviewed	Transcriptional activator protein Pur-beta (Purine-rich element-binding protein B) (Vascular actin single-stranded DNA-binding factor 2 p44 component)	Purb	Mus musculus (Mouse)	324
Q62193	Q62193	RFA2_MOUSE	reviewed	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	Rpa2 Rpa34	Mus musculus (Mouse)	270
Q91VN1	Q91VN1	ZNF24_MOUSE	reviewed	Zinc finger protein 24 (Hypomyelinated CNS protein) (Zinc finger protein 191) (Zinc finger protein ZF-12)	Znf24 Hmcns Zfp191 Zfp24	Mus musculus (Mouse)	368
Q6PDK2	Q6PDK2	KMT2D_MOUSE	reviewed	Histone-lysine N-methyltransferase 2D (Lysine N-methyltransferase 2D) (EC 2.1.1.354) (ALL1-related protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 2)	Kmt2d Mll2 Mll4	Mus musculus (Mouse)	5588
Q99J95	Q99J95	CDK9_MOUSE	reviewed	Cyclin-dependent kinase 9 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 9)	Cdk9	Mus musculus (Mouse)	372
P70662	P70662	LDB1_MOUSE	reviewed	LIM domain-binding protein 1 (LDB-1) (Carboxyl-terminal LIM domain-binding protein 2) (CLIM-2) (LIM domain-binding factor CLIM2) (mLdb1) (Nuclear LIM interactor)	Ldb1 Nli	Mus musculus (Mouse)	411
Q64317	Q64317	DLX1_MOUSE	reviewed	Homeobox protein DLX-1	Dlx1	Mus musculus (Mouse)	255
P70325	P70325	TBX4_MOUSE	reviewed	T-box transcription factor TBX4 (T-box protein 4)	Tbx4	Mus musculus (Mouse)	552
P31257	P31257	HXC10_MOUSE	reviewed	Homeobox protein Hox-C10 (Homeobox protein Hox-3.6)	Hoxc10 Hox-3.6 Hoxc-10	Mus musculus (Mouse)	342
P97822	P97822	AN32E_MOUSE	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member E (Cerebellar postnatal development protein 1) (LANP-like protein) (LANP-L)	Anp32e Cpd1	Mus musculus (Mouse)	260
A2A5N8	A2A5N8	LMBL1_MOUSE	reviewed	Lethal(3)malignant brain tumor-like protein 1 (H-l(3)mbt) (H-l(3)mbt protein) (L(3)mbt-like) (L(3)mbt protein homolog)	L3mbtl1 Kiaa0681 L3mbt L3mbtl	Mus musculus (Mouse)	826
Q8BG30	Q8BG30	NELFA_MOUSE	reviewed	Negative elongation factor A (NELF-A) (Wolf-Hirschhorn syndrome candidate 2 homolog) (mWHSC2)	Nelfa Whsc2 Whsc2h	Mus musculus (Mouse)	530
Q6NZM9	Q6NZM9	HDAC4_MOUSE	reviewed	Histone deacetylase 4 (HD4) (EC 3.5.1.98)	Hdac4	Mus musculus (Mouse)	1076
Q91XD7	Q91XD7	CREL1_MOUSE	reviewed	Protein disulfide isomerase Creld1 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 1)	Creld1	Mus musculus (Mouse)	420
P56477	P56477	IRF5_MOUSE	reviewed	Interferon regulatory factor 5 (IRF-5)	Irf5	Mus musculus (Mouse)	497
Q9Z2D6	Q9Z2D6	MECP2_MOUSE	reviewed	Methyl-CpG-binding protein 2 (MeCp-2 protein) (MeCp2)	Mecp2	Mus musculus (Mouse)	484
Q8CGW4	Q8CGW4	SOX30_MOUSE	reviewed	Transcription factor SOX-30	Sox30	Mus musculus (Mouse)	782
P46938	P46938	YAP1_MOUSE	reviewed	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	Yap1 Yap Yap65	Mus musculus (Mouse)	488
Q9WV30	Q9WV30	NFAT5_MOUSE	reviewed	Nuclear factor of activated T-cells 5 (NF-AT5) (Rel domain-containing transcription factor NFAT5) (T-cell transcription factor NFAT5)	Nfat5	Mus musculus (Mouse)	1534
Q6PDQ2	Q6PDQ2	CHD4_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12)	Chd4	Mus musculus (Mouse)	1915
O70343	O70343	PRGC1_MOUSE	reviewed	Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha)	Ppargc1a Pgc1 Pgc1a Ppargc1	Mus musculus (Mouse)	797
Q9CQJ4	Q9CQJ4	RING2_MOUSE	reviewed	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Rnf2 DinG Ring1b	Mus musculus (Mouse)	336
Q8C255	Q8C255	DPEP2_MOUSE	reviewed	Dipeptidase 2 (EC 3.4.13.19) (Membrane-bound dipeptidase 2) (MBD-2)	Dpep2 Mbd2	Mus musculus (Mouse)	478
Q8K4B0	Q8K4B0	MTA1_MOUSE	reviewed	Metastasis-associated protein MTA1	Mta1	Mus musculus (Mouse)	715
Q60972	Q60972	RBBP4_MOUSE	reviewed	Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48)	Rbbp4 Rbap48	Mus musculus (Mouse)	425
Q99MY8	Q99MY8	ASH1L_MOUSE	reviewed	Histone-lysine N-methyltransferase ASH1L (EC 2.1.1.359) (EC 2.1.1.367) (ASH1-like protein) (Absent small and homeotic disks protein 1 homolog)	Ash1l	Mus musculus (Mouse)	2958
P59598	P59598	ASXL1_MOUSE	reviewed	Polycomb group protein ASXL1 (Additional sex combs-like protein 1)	Asxl1 Kiaa0978	Mus musculus (Mouse)	1514
B5DC71	B5DC71	B5DC71_MOUSE	unreviewed	Variable domain of Fab 54-5C10-A heavy chain (Fragment)	Na	Mus musculus (Mouse)	118
Q3UQU0	Q3UQU0	BRD9_MOUSE	reviewed	Bromodomain-containing protein 9	Brd9	Mus musculus (Mouse)	596
A0A087WPF7	A0A087WPF7	AUTS2_MOUSE	reviewed	Autism susceptibility gene 2 protein homolog	Auts2 Kiaa0442	Mus musculus (Mouse)	1261
P25916	P25916	BMI1_MOUSE	reviewed	Polycomb complex protein BMI-1 (Polycomb group RING finger protein 4)	Bmi1 Bmi-1 Pcgf4	Mus musculus (Mouse)	324
Q8CCI5	Q8CCI5	RYBP_MOUSE	reviewed	RING1 and YY1-binding protein (Death effector domain-associated factor) (DED-associated factor)	Rybp Dedaf	Mus musculus (Mouse)	228
Q6P1G2	Q6P1G2	KDM2B_MOUSE	reviewed	Lysine-specific demethylase 2B (EC 1.14.11.27) (F-box and leucine-rich repeat protein 10) (F-box protein FBL10) (F-box/LRR-repeat protein 10) (JmjC domain-containing histone demethylation protein 1B) ([Histone-H3]-lysine-36 demethylase 1B)	Kdm2b Fbl10 Fbxl10 Jhdm1b Kiaa3014	Mus musculus (Mouse)	1309
Q9QXV1	Q9QXV1	CBX8_MOUSE	reviewed	Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (mPc3)	Cbx8 Pc3	Mus musculus (Mouse)	362
P59178	P59178	LMBL2_MOUSE	reviewed	Lethal(3)malignant brain tumor-like protein 2 (L(3)mbt-like protein 2)	L3mbtl2	Mus musculus (Mouse)	703
E9PYH6	E9PYH6	SET1A_MOUSE	reviewed	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.354) (SET domain-containing protein 1A)	Setd1a	Mus musculus (Mouse)	1716
Q6PFD9	Q6PFD9	NUP98_MOUSE	reviewed	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	Nup98	Mus musculus (Mouse)	1816
Q69Z61	Q69Z61	PWP2A_MOUSE	reviewed	PWWP domain-containing protein 2A	Pwwp2a Kiaa1935	Mus musculus (Mouse)	730
Q91WD5	Q91WD5	NDUS2_MOUSE	reviewed	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 7.1.1.2) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)	Ndufs2	Mus musculus (Mouse)	463
E9Q9M8	E9Q9M8	E9Q9M8_MOUSE	unreviewed	PWWP domain-containing 2B	Pwwp2b	Mus musculus (Mouse)	600
Q64261	Q64261	CDK6_MOUSE	reviewed	Cyclin-dependent kinase 6 (EC 2.7.11.22) (CR2 protein kinase) (CRK2) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	Cdk6 Cdkn6 Crk2	Mus musculus (Mouse)	326
Q8VDF2	Q8VDF2	UHRF1_MOUSE	reviewed	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (Nuclear protein 95) (Nuclear zinc finger protein Np95) (RING-type E3 ubiquitin transferase UHRF1) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (mUhrf1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	Uhrf1 Np95	Mus musculus (Mouse)	782
Q3UKU1	Q3UKU1	ELL2_MOUSE	reviewed	RNA polymerase II elongation factor ELL2	Ell2	Mus musculus (Mouse)	639
Q99PP7	Q99PP7	TRI33_MOUSE	reviewed	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	Trim33 Kiaa1113	Mus musculus (Mouse)	1142
Q9CU62	Q9CU62	SMC1A_MOUSE	reviewed	Structural maintenance of chromosomes protein 1A (SMC protein 1A) (SMC-1-alpha) (SMC-1A) (Chromosome segregation protein SmcB) (Sb1.8)	Smc1a Sb1.8 Smc1 Smc1l1 Smcb	Mus musculus (Mouse)	1233
P62915	P62915	TF2B_MOUSE	reviewed	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (RNA polymerase II alpha initiation factor)	Gtf2b	Mus musculus (Mouse)	316
Q7TN02	Q7TN02	MED26_MOUSE	reviewed	Mediator of RNA polymerase II transcription subunit 26 (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26)	Med26 Crsp7	Mus musculus (Mouse)	588
P31362	P31362	PO2F3_MOUSE	reviewed	POU domain, class 2, transcription factor 3 (Epoc-1) (Octamer-binding protein 11) (Oct-11) (Octamer-binding transcription factor 11) (OTF-11)	Pou2f3 Epoc1 Oct11 Otf-11 Otf11	Mus musculus (Mouse)	431
A2AJK6	A2AJK6	CHD7_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.12) (ATP-dependent helicase CHD7)	Chd7	Mus musculus (Mouse)	2986
Q09XV5	Q09XV5	CHD8_MOUSE	reviewed	Chromodomain-helicase-DNA-binding protein 8 (CHD-8) (EC 3.6.4.12) (ATP-dependent helicase CHD8) (Axis duplication inhibitor) (Duplin)	Chd8 Kiaa1564	Mus musculus (Mouse)	2582
Q61666	Q61666	HIRA_MOUSE	reviewed	Protein HIRA (TUP1-like enhancer of split protein 1)	Hira Tuple1	Mus musculus (Mouse)	1015
Q4G0F8	Q4G0F8	UBN1_MOUSE	reviewed	Ubinuclein-1 (Ubiquitously expressed nuclear protein)	Ubn1	Mus musculus (Mouse)	1135
Q80WC1	Q80WC1	UBN2_MOUSE	reviewed	Ubinuclein-2	Ubn2 Kiaa2030	Mus musculus (Mouse)	1314
Q9CWH0	Q9CWH0	DPPA2_MOUSE	reviewed	Developmental pluripotency-associated protein 2 (Embryonic stem cell-associated transcript 15-2 protein) (ECAT15-2) (Pluripotent embryonic stem cell-related gene 1 protein)	Dppa2 Phsecrg1	Mus musculus (Mouse)	301
Q8CCG4	Q8CCG4	DPPA4_MOUSE	reviewed	Developmental pluripotency-associated protein 4 (Embryonic stem cell-associated transcript 15-1 protein) (ECAT15-1)	Dppa4	Mus musculus (Mouse)	296
Q9DA79	Q9DA79	DPEP3_MOUSE	reviewed	Dipeptidase 3 (EC 3.4.13.19) (Membrane-bound dipeptidase 3) (MBD-3) (Protein expressed in male leptotene and zygotene spermatocytes 136) (MLZ-136)	Dpep3 Mbd3	Mus musculus (Mouse)	493
E9Q6W4	E9Q6W4	ZN296_MOUSE	reviewed	Zinc finger protein 296 (Hepatocellular carcinoma-associated antigen MHCA108)	Znf296 Zfp296	Mus musculus (Mouse)	445
P63166	P63166	SUMO1_MOUSE	reviewed	Small ubiquitin-related modifier 1 (SUMO-1) (SMT3 homolog 3) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C)	Sumo1 Smt3c Smt3h3 Ubl1	Mus musculus (Mouse)	101
P61957	P61957	SUMO2_MOUSE	reviewed	Small ubiquitin-related modifier 2 (SUMO-2) (SMT3 homolog 2) (Ubiquitin-like protein SMT3B) (Smt3B)	Sumo2 Smt3b Smt3h2	Mus musculus (Mouse)	95
P09602	P09602	HMGN2_MOUSE	reviewed	Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2)	Hmgn2 Hmg-17 Hmg17	Mus musculus (Mouse)	90
A2A479	A2A479	A2A479_MOUSE	unreviewed	Zinc finger, MYND-type-containing 8 (Fragment)	Zmynd8	Mus musculus (Mouse)	47
Q8BGU5	Q8BGU5	CCNY_MOUSE	reviewed	Cyclin-Y (Cyclin fold protein 1)	Ccny Cfp1	Mus musculus (Mouse)	341
Q8BVK9	Q8BVK9	SP110_MOUSE	reviewed	Sp110 nuclear body protein (Intracellular pathogen resistance protein 1)	Sp110 Ifi75 Ipr1	Mus musculus (Mouse)	445
Q9EQU5	Q9EQU5	SET_MOUSE	reviewed	Protein SET (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	Set	Mus musculus (Mouse)	289
Q01705	Q01705	NOTC1_MOUSE	reviewed	Neurogenic locus notch homolog protein 1 (Notch 1) (Motch A) (mT14) (p300) [Cleaved into: Notch 1 extracellular truncation (NEXT); Notch 1 intracellular domain (NICD)]	Notch1 Motch	Mus musculus (Mouse)	2531
Q921F2	Q921F2	TADBP_MOUSE	reviewed	TAR DNA-binding protein 43 (TDP-43)	Tardbp Tdp43	Mus musculus (Mouse)	414
O88559	O88559	MEN1_MOUSE	reviewed	Menin	Men1	Mus musculus (Mouse)	611
Q8K284	Q8K284	TF3C1_MOUSE	reviewed	General transcription factor 3C polypeptide 1 (TF3C-alpha) (TFIIIC box B-binding subunit) (Transcription factor IIIC 220 kDa subunit) (TFIIIC 220 kDa subunit) (TFIIIC220) (Transcription factor IIIC subunit alpha)	Gtf3c1	Mus musculus (Mouse)	2101
Q3TKT4	Q3TKT4	SMCA4_MOUSE	reviewed	Transcription activator BRG1 (EC 3.6.4.-) (ATP-dependent helicase SMARCA4) (BRG1-associated factor 190A) (BAF190A) (Protein brahma homolog 1) (SNF2-beta) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4)	Smarca4 Baf190a Brg1 Snf2b Snf2l4	Mus musculus (Mouse)	1613
